playerID,Seasons,Wins,Loses,Games,Games_Started,Complete_Games,Shut_Outs,Earned_Runs,Strike_Outs,Walks,Games_Finished,Runs_Allowed,Batters_Faced
sigsbse01,1,0,0,1,0,0,0,3,2,4,1,4,15
sikorbr01,3,4,5,40,5,0,0,43,70,32,12,50,329
silvaca01,9,70,70,316,180,6,2,645,554,238,39,687,5319
silvajo01,7,25,28,154,53,2,0,257,298,154,32,285,1915
silvawa01,1,0,2,6,6,0,0,24,11,15,0,28,121
simaal01,5,11,21,100,30,4,0,158,111,132,30,187,1376
simasbi01,6,18,19,308,0,0,0,144,265,149,102,159,1481
simmocu01,23,193,183,569,462,163,36,1318,1697,1063,54,1551,14144
simmopa01,2,0,2,33,3,0,0,31,18,41,21,38,328
simmosh01,3,1,4,42,0,0,0,14,34,15,11,15,144
simonal01,9,47,47,255,93,2,1,393,529,269,70,425,3372
simondo01,2,2,3,49,1,0,0,49,44,21,13,54,293
simonja01,4,26,17,96,53,1,0,201,191,125,13,213,1552
simpsal01,4,2,2,45,0,0,0,33,57,32,12,38,233
simpsdu01,1,1,2,30,1,0,0,40,21,25,11,47,222
simpsjo01,1,0,0,2,0,0,0,1,1,2,2,1,15
simpsst01,1,0,2,9,0,0,0,6,9,8,4,6,51
simpswa01,6,36,31,122,107,13,2,309,353,315,7,342,2794
simslu01,3,3,6,23,10,0,0,49,60,36,3,50,332
simspe01,1,1,0,3,2,0,0,4,4,6,1,4,34
sinclst01,3,0,3,45,0,0,0,20,26,19,9,23,156
sincobe01,1,0,0,1,0,0,0,2,1,0,1,2,17
singebi01,15,118,127,322,308,94,24,819,1515,781,7,944,9143
singlel01,8,11,17,145,19,2,0,176,160,146,65,192,1431
singljo01,1,1,10,22,9,3,1,61,27,38,8,80,431
sinkbbr01,1,0,0,3,0,0,0,3,1,5,1,3,13
sippto01,10,25,20,580,0,0,0,197,513,212,117,210,2018
sirotmi01,6,45,42,125,111,9,1,340,435,207,3,398,3056
siscoan01,3,3,9,151,0,0,0,85,141,93,35,87,681
siskdo01,9,22,20,332,0,0,0,190,195,267,161,238,2298
siskto01,9,40,49,316,99,19,4,404,441,358,63,457,3972
sisleda01,8,38,44,247,59,12,1,316,355,368,103,352,2907
sislege01,7,5,6,24,12,9,1,29,63,52,8,36,453
sittoca01,1,3,2,14,5,3,0,16,16,16,7,22,208
sivespe01,3,7,11,62,16,5,0,122,58,116,31,136,964
siwyji01,2,0,0,3,1,0,0,9,4,7,0,9,49
skaggty01,6,21,31,81,81,0,0,217,398,149,0,231,1884
skalsjo01,1,0,2,2,1,0,0,5,3,4,0,6,33
skaugda01,1,0,0,2,0,0,0,1,4,6,1,1,27
skeelda01,1,0,0,1,1,0,0,8,2,4,0,8,32
skogler01,2,2,8,21,18,0,0,59,63,31,1,61,386
skokcr01,4,4,7,107,0,0,0,81,85,58,38,93,664
skopejo01,2,8,5,15,14,9,0,39,38,58,0,61,485
skrmema01,2,2,2,14,0,0,0,19,11,9,3,22,73
slagljo01,1,0,0,1,0,0,0,0,1,1,1,0,8
slaglro01,1,0,0,1,0,0,0,0,2,0,1,0,6
slaglwa01,1,0,0,1,0,0,0,1,0,3,0,1,7
slamaan01,2,0,1,7,0,0,0,4,8,7,2,4,34
slanida01,1,0,0,1,0,0,0,0,0,0,1,0,3
slapncy01,2,1,6,10,8,5,0,35,13,29,2,45,319
slappjo01,1,0,1,3,1,0,0,5,1,4,1,12,38
slatedo01,7,7,8,216,0,0,0,59,110,67,55,72,674
slatoji01,17,151,158,496,360,86,22,1202,1191,1004,71,1335,11535
slattph01,1,0,0,3,0,0,0,0,1,1,3,0,31
slaugba01,1,0,1,8,1,0,0,11,7,11,6,12,77
slaugst01,1,2,4,20,6,1,0,33,32,32,3,35,247
slaybbi01,3,6,9,42,17,3,1,59,89,51,15,74,599
slaytst01,1,0,0,3,0,0,0,3,2,3,2,3,29
sleatlo01,9,12,18,131,21,7,1,157,152,172,54,181,1367
slegeaa01,2,1,2,8,5,0,0,19,15,8,1,20,123
sloatle01,2,0,1,9,2,0,0,12,4,11,2,12,76
slocubr01,2,0,0,10,2,0,0,17,12,9,1,17,100
slocuhe01,14,28,37,548,0,0,0,286,513,358,297,320,2853
sloweke01,7,43,36,137,106,3,2,340,495,111,7,354,2828
slusajo01,8,13,21,118,34,1,0,176,173,125,29,189,1358
smallaa01,10,25,13,172,15,1,1,186,170,137,45,202,1454
smallma01,1,0,1,16,0,0,0,16,16,13,4,23,122
smallwa01,2,0,0,8,0,0,0,12,7,10,5,12,94
smartjd01,2,1,3,44,0,0,0,40,31,21,10,41,291
smilejo01,13,126,103,361,280,28,8,806,1284,496,21,888,7900
