playerID,Total_Games,Games_Started,Games_Pitched,Games_Catcher,Games_First_Base,Games_Second_Base,Games_Third_Base,Games_Short_Stop,Games_Left_Field,Games_Right_Field,Games_Center_Field,Games_Out_Field,Games_DH
demerla01,157,46,139,0,0,0,0,0,0,0,0,0,0
burrebu01,122,NULL,0,114,4,0,0,0,0,0,1,1,0
tebeapu01,2,NULL,0,0,0,0,0,0,0,2,0,2,0
koringe01,11,0,11,0,0,0,0,0,0,0,0,0,0
powelpa01,30,8,0,7,0,0,0,0,2,0,15,17,0
kaaihki01,126,108,0,0,79,0,0,0,0,0,0,0,37
harresl01,1,0,1,0,0,0,0,0,0,0,0,0,0
dalrybi01,3,0,0,0,0,0,1,0,0,0,0,0,0
giordto01,11,11,0,0,0,11,0,0,0,0,0,0,0
cartepa01,129,43,127,0,0,0,0,0,0,0,0,0,0
boggsra01,4,0,4,0,0,0,0,0,0,0,0,0,0
denniot01,129,84,0,78,34,0,0,0,2,0,0,2,0
richaje02,1,0,1,0,0,0,0,0,0,0,0,0,0
duncash01,330,241,0,0,41,0,0,0,139,32,0,168,90
moranpa01,823,323,0,699,19,1,43,3,0,4,0,4,0
ludwibi01,67,56,0,62,0,0,0,0,0,0,0,0,0
demaral01,232,173,232,0,0,0,0,0,0,0,0,0,0
macwhke01,14,2,14,0,0,0,0,0,0,0,0,0,0
hillesh02,943,898,0,0,373,0,462,0,0,0,0,0,125
johnsji04,674,2,674,0,0,0,0,0,0,0,0,0,0
burgobi01,44,37,0,0,0,0,0,0,31,8,0,39,0
childsa01,1,NULL,0,0,1,0,0,0,0,0,0,0,0
reamsle01,1,0,0,0,0,0,0,0,0,0,0,0,0
gibsobo02,98,18,98,0,0,0,0,0,0,0,0,0,0
gerhake01,215,167,0,0,0,0,0,0,89,10,113,203,4
everito01,24,22,0,0,21,0,0,0,0,0,0,0,3
zimmebr01,135,102,0,0,0,0,0,0,0,0,131,131,0
woodrpe01,20,NULL,0,0,1,0,0,0,0,19,0,19,0
barnhvi01,74,54,0,0,0,0,4,61,0,0,0,0,0
ardoida01,165,132,0,165,0,0,0,0,0,0,0,0,0
cronibi01,127,87,0,124,0,0,0,0,0,0,0,0,0
upchuwo01,10,5,10,0,0,0,0,0,0,0,0,0,0
posedbi01,138,87,138,0,0,0,0,0,0,0,0,0,0
raethha01,2,0,2,0,0,0,0,0,0,0,0,0,0
hardiji01,164,100,164,0,0,0,0,0,0,0,0,0,0
brousbe01,705,539,0,0,557,0,0,0,42,12,0,54,52
tayloch03,415,332,0,0,0,45,19,176,72,0,99,159,4
calhowi01,48,35,0,0,0,0,0,0,38,0,0,38,2
oranto01,19,NULL,0,0,0,0,0,1,0,17,2,19,0
wheatle01,11,1,11,0,0,0,0,0,0,0,0,0,0
ballepe01,3,1,0,0,0,0,3,0,0,0,0,0,0
butlech01,1,0,1,0,0,0,0,0,0,0,0,0,0
yurakje01,5,0,0,0,0,0,0,0,1,0,0,1,0
milleda01,224,101,0,97,16,0,2,0,34,54,8,95,8
alvarto01,38,16,0,0,0,0,0,0,5,10,10,24,0
budzima01,4,1,0,0,0,0,0,0,0,0,1,1,0
correke01,363,221,358,0,0,0,0,0,0,0,0,0,0
towlejr01,155,124,0,148,0,0,0,0,0,0,0,0,0
mcgrajo02,1,0,1,0,0,0,0,0,0,0,0,0,0
mccarjo03,542,356,1,0,383,0,0,0,1,3,1,5,0
korecbo01,24,0,24,0,0,0,0,0,0,0,0,0,0
