playerID,Seasons,Hits,RBIs,Runs,Stolen_Bases,Strike_Outs,Home_Runs,Walks,Games,Triples,Doubles,Caught_Stealing,At_Bats,Intentional_Walks,Hit_By_Pitch,Sacrifice_Hits,Sacrifice_Flies,Ground_Into_Double_Plays
llenawi01,6,122,61,50,0,69,3,38,300,0,17,1,531,1,2,7,14,20
llewecl01,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
lloydgr01,13,0,0,0,0,2,0,1,568,0,0,0,6,0,0,0,0,0
lloydky01,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
loaisjo01,1,0,0,0,0,2,0,0,9,0,0,0,2,0,0,0,0,0
loaizes01,19,46,18,16,0,69,0,3,379,1,4,1,271,0,0,36,1,8
loanebo01,2,5,2,6,2,9,0,6,16,0,3,0,31,NULL,0,1,NULL,0
loanmi01,1,1,0,1,0,0,0,0,1,0,0,NULL,2,NULL,0,0,NULL,NULL
lobatjo01,9,244,107,109,0,293,21,121,413,4,47,2,1134,5,7,7,9,35
loberfr01,1,6,2,3,0,0,0,0,11,1,0,NULL,30,NULL,0,1,NULL,NULL
loberha01,14,1252,482,640,316,302,32,395,1317,82,159,15,4563,NULL,38,231,NULL,NULL
lobstky01,3,0,0,0,0,1,0,0,34,0,0,0,2,0,0,0,0,0
locasti01,2,2,0,6,5,5,0,2,21,0,1,0,12,0,1,0,0,0
loch02,1,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0
lochhha01,3,134,45,57,23,31,1,24,158,1,7,NULL,579,NULL,11,6,NULL,NULL
lockdo01,9,642,373,359,30,776,122,373,921,12,92,29,2695,19,15,7,26,63
lockean01,1,0,0,0,0,4,0,1,4,0,0,0,4,0,0,0,0,0
lockebo01,10,25,12,12,0,22,1,9,168,0,2,0,98,0,0,6,0,1
lockebo02,12,7,0,5,1,61,0,7,576,0,0,0,95,0,1,2,0,0
lockech01,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
lockeje01,7,18,2,7,0,104,0,8,131,0,1,0,195,0,0,21,0,2
lockema01,1,7,5,5,NULL,NULL,0,0,7,1,0,NULL,29,NULL,0,NULL,NULL,NULL
lockero01,1,0,0,1,0,3,0,0,25,0,0,0,5,0,0,3,0,0
lockhke01,10,591,268,290,30,268,44,195,979,17,117,15,2268,23,14,22,30,36
locklge01,7,163,66,76,13,87,9,55,292,4,24,7,595,6,2,5,4,9
locklst01,2,4,0,4,0,5,0,3,25,0,1,0,24,0,0,0,0,1
lockmwh01,17,1658,563,836,43,383,114,552,1666,49,222,27,5940,15,19,64,15,68
lockwmi01,1,14,NULL,9,NULL,NULL,0,8,20,0,1,NULL,67,NULL,NULL,NULL,NULL,NULL
lockwsk01,13,40,11,15,0,66,3,18,468,0,4,2,260,0,2,35,1,3
lodigda01,6,355,156,142,12,86,16,141,405,7,71,8,1364,NULL,19,27,NULL,27
loducpa01,13,1112,481,483,20,295,80,266,1082,8,222,19,3892,23,58,42,44,138
loeka01,11,1,0,1,0,3,0,1,322,0,0,0,6,0,0,1,0,0
loeppge01,2,46,17,29,0,21,0,25,65,2,10,4,185,NULL,3,6,NULL,NULL
loesbi01,12,38,11,14,1,96,0,15,317,1,2,1,347,0,0,35,1,7
loewead01,6,7,4,4,0,13,1,3,77,0,1,0,37,0,2,0,0,1
loeweca01,4,8,3,4,0,22,0,5,48,0,0,0,62,0,0,8,0,2
loftoja01,1,5,1,1,2,4,0,1,8,0,1,1,26,0,0,0,1,1
